rank,word,per_million,zipf,wordfreq_pm,opensubtitles_pm
1,ich,25413.55,7.41,12000.0,38827.09
2,die,23289.74,7.37,30200.0,16379.47
3,und,20697.16,7.32,26300.0,15094.33
4,der,20088.66,7.3,28800.0,11377.32
5,das,17540.33,7.24,14500.0,20580.67
6,ist,15971.99,7.2,12000.0,19943.99
7,sie,15851.58,7.2,6610.0,25093.16
8,nicht,14185.98,7.15,10200.0,18171.95
9,in,12758.43,7.11,17400.0,8116.86
10,es,11945.45,7.08,8710.0,15180.91
11,du,11407.97,7.06,3390.0,19425.94
12,zu,9795.63,6.99,10200.0,9391.27
13,ein,8400.05,6.92,8130.0,8670.1
14,mit,8118.79,6.91,9550.0,6687.57
15,den,8034.32,6.9,10000.0,6068.64
16,wir,7409.22,6.87,3470.0,11348.44
17,von,7213.49,6.86,9770.0,4656.99
18,was,7134.82,6.85,3090.0,11179.63
19,er,7021.54,6.85,5130.0,8913.07
20,auf,6785.03,6.83,7760.0,5810.06
21,für,6218.29,6.79,7590.0,4846.58
22,eine,5921.83,6.77,6310.0,5533.65
23,dass,5406.51,6.73,4900.0,5913.02
24,wie,5296.59,6.72,4470.0,6123.18
25,so,5132.51,6.71,4900.0,5365.02
26,aber,4951.29,6.69,4270.0,5632.58
27,im,4950.66,6.69,7240.0,2661.32
28,sich,4843.0,6.69,6170.0,3515.99
29,hat,4623.45,6.66,3980.0,5266.9
30,ja,4544.21,6.66,2140.0,6948.43
31,an,4518.48,6.65,4900.0,4136.97
32,auch,4495.67,6.65,6030.0,2961.33
33,dem,4407.72,6.64,5750.0,3065.44
34,mir,4404.97,6.64,2090.0,6719.94
35,sind,4386.35,6.64,3980.0,4792.7
36,war,4042.76,6.61,3390.0,4695.53
37,als,4016.79,6.6,5130.0,2903.59
38,wenn,3908.85,6.59,3240.0,4577.7
39,haben,3856.61,6.59,2820.0,4893.21
40,mich,3853.46,6.59,1820.0,5886.91
41,noch,3661.83,6.56,3550.0,3773.67
42,nur,3514.67,6.55,3310.0,3719.35
43,hier,3395.88,6.53,1820.0,4971.76
44,aus,3391.35,6.53,3980.0,2802.7
45,des,3307.6,6.52,5500.0,1115.2
46,einen,3264.72,6.51,3020.0,3509.45
47,bei,3198.24,6.5,4570.0,1826.48
48,habe,3166.75,6.5,2140.0,4193.49
49,da,3029.67,6.48,2340.0,3719.34
50,ihr,2989.95,6.48,1660.0,4319.89
51,nach,2890.14,6.46,3630.0,2150.27
52,wird,2879.28,6.46,3160.0,2598.56
53,kann,2776.88,6.44,2510.0,3043.76
54,oder,2704.59,6.43,3160.0,2249.19
55,dich,2658.12,6.42,776.0,4540.25
56,schon,2552.9,6.41,2190.0,2915.8
57,dann,2535.32,6.4,2240.0,2830.64
58,bin,2530.36,6.4,1260.0,3800.72
59,werden,2516.21,6.4,3090.0,1942.42
60,sein,2495.65,6.4,2090.0,2901.29
61,man,2431.8,6.39,2880.0,1983.59
62,mal,2390.78,6.38,1910.0,2871.56
63,uns,2370.73,6.37,1290.0,3451.45
64,dir,2284.55,6.36,912.0,3657.1
65,nein,2279.73,6.36,331.0,4228.45
66,jetzt,2245.05,6.35,1620.0,2870.11
67,gut,2107.12,6.32,1230.0,2984.24
68,doch,2087.23,6.32,1660.0,2514.45
69,am,2003.31,6.3,2880.0,1126.61
70,zum,1997.57,6.3,2570.0,1425.14
71,mehr,1997.13,6.3,2140.0,1854.26
72,einer,1981.08,6.3,2630.0,1332.17
73,hast,1966.8,6.29,562.0,3371.61
74,keine,1876.29,6.27,1450.0,2302.59
75,über,1873.81,6.27,2450.0,1297.61
76,meine,1851.68,6.27,933.0,2770.37
77,vor,1836.85,6.26,2040.0,1633.69
78,einem,1815.06,6.26,2240.0,1390.12
79,ihn,1772.18,6.25,676.0,2868.37
80,alles,1733.18,6.24,1050.0,2416.36
81,mein,1684.13,6.23,832.0,2536.26
82,immer,1667.71,6.22,1620.0,1715.42
83,muss,1657.48,6.22,1320.0,1994.97
84,wieder,1547.68,6.19,1510.0,1585.36
85,weiß,1491.26,6.17,562.0,2420.52
86,diese,1477.54,6.17,1580.0,1375.08
87,bist,1460.86,6.16,407.0,2514.73
88,geht,1458.83,6.16,1000.0,1917.66
89,können,1453.99,6.16,1320.0,1587.98
90,alle,1446.07,6.16,1410.0,1482.15
91,sehr,1436.27,6.16,1380.0,1492.53
92,will,1423.15,6.15,912.0,1934.31
93,also,1411.46,6.15,1000.0,1822.93
94,nichts,1396.84,6.15,759.0,2034.68
95,etwas,1381.31,6.14,871.0,1891.61
96,wo,1347.4,6.13,794.0,1900.81
97,bis,1318.56,6.12,1700.0,937.12
98,zur,1310.59,6.12,1860.0,761.17
99,ihre,1263.56,6.1,1150.0,1377.11
100,wurde,1240.49,6.09,1550.0,930.99
101,ihnen,1238.61,6.09,550.0,1927.22
102,durch,1231.63,6.09,1820.0,643.27
103,machen,1230.31,6.09,955.0,1505.63
104,gibt,1223.53,6.09,1150.0,1297.06
105,hab,1212.35,6.08,759.0,1665.71
106,denn,1206.56,6.08,933.0,1480.13
107,bitte,1112.53,6.05,501.0,1724.05
108,hatte,1111.54,6.05,1150.0,1073.09
109,warum,1108.84,6.04,562.0,1655.69
110,viel,1082.6,6.03,1000.0,1165.2
111,ihm,1061.28,6.03,692.0,1430.57
112,wer,1056.84,6.02,724.0,1389.69
113,soll,1036.34,6.02,813.0,1259.68
114,oh,1022.52,6.01,170.0,1875.05
115,sagen,1019.64,6.01,479.0,1560.27
116,zeit,1017.13,6.01,977.0,1057.27
117,mann,1002.51,6.0,537.0,1468.02
118,einfach,1002.14,6.0,891.0,1113.29
119,dieser,992.32,6.0,1100.0,884.64
120,kein,991.69,6.0,813.0,1170.38
121,weil,971.99,5.99,891.0,1052.98
122,ganz,970.83,5.99,955.0,986.67
123,danke,969.75,5.99,437.0,1502.5
124,vielleicht,961.93,5.98,525.0,1398.87
125,damit,952.47,5.98,912.0,992.94
126,seine,950.4,5.98,1070.0,830.81
127,würde,947.43,5.98,741.0,1153.86
128,sehen,946.85,5.98,490.0,1403.69
129,euch,938.52,5.97,513.0,1364.03
130,müssen,931.86,5.97,603.0,1260.71
131,gehen,928.66,5.97,447.0,1410.31
132,leben,914.79,5.96,724.0,1105.57
133,tun,912.13,5.96,380.0,1444.26
134,wirklich,891.28,5.95,562.0,1220.56
135,los,890.39,5.95,182.0,1598.78
136,heute,887.6,5.95,759.0,1016.19
137,kommt,886.55,5.95,759.0,1014.1
138,vom,882.45,5.95,1260.0,504.91
139,nun,852.63,5.93,759.0,946.26
140,unter,848.1,5.93,1260.0,436.19
141,nie,846.78,5.93,468.0,1225.57
142,zwei,839.66,5.92,871.0,808.31
143,wäre,823.42,5.92,661.0,985.84
144,ab,823.08,5.92,955.0,691.16
145,waren,822.68,5.92,871.0,774.36
146,werde,816.28,5.91,398.0,1234.56
147,deine,814.05,5.91,363.0,1265.1
148,wissen,811.81,5.91,355.0,1268.62
149,weg,811.18,5.91,468.0,1154.37
150,macht,798.18,5.9,708.0,888.35
151,kommen,773.14,5.89,513.0,1033.28
152,wollen,759.43,5.88,513.0,1005.86
153,ohne,738.61,5.87,891.0,586.23
154,gegen,737.49,5.87,1070.0,404.98
155,lassen,720.55,5.86,575.0,866.11
156,komm,703.5,5.85,81.3,1325.71
157,frau,702.2,5.85,457.0,947.4
158,okay,694.89,5.84,93.3,1296.48
159,selbst,694.07,5.84,794.0,594.15
160,ob,665.7,5.82,692.0,639.4
161,seit,665.28,5.82,813.0,517.56
162,hätte,663.62,5.82,501.0,826.24
163,dein,657.87,5.82,288.0,1027.74
164,sicher,652.59,5.81,347.0,958.17
165,hey,652.32,5.81,85.1,1219.54
166,wollte,647.91,5.81,316.0,979.81
167,tut,646.87,5.81,155.0,1138.73
168,gerade,637.7,5.8,589.0,686.4
169,könnte,633.48,5.8,490.0,776.97
170,anderen,630.12,5.8,692.0,568.24
171,zurück,625.42,5.8,372.0,878.85
172,kannst,624.36,5.8,347.0,901.71
