rank,word,per_million,zipf,wordfreq_pm,opensubtitles_pm
1,the,42545.11,7.63,53700.0,31390.22
2,to,25241.05,7.4,26900.0,23582.1
3,i,24826.93,7.39,12300.0,37353.86
4,you,24625.24,7.39,9550.0,39700.49
5,a,21437.71,7.33,22900.0,19975.42
6,and,20140.48,7.3,25700.0,14580.96
7,of,18697.34,7.27,25100.0,12294.68
8,in,14359.21,7.16,18600.0,10118.41
9,it,13854.63,7.14,8910.0,18799.25
10,that,12135.9,7.08,10200.0,14071.81
11,is,10953.07,7.04,11700.0,10206.15
12,for,8667.73,6.94,10200.0,7135.46
13,on,7389.87,6.87,8130.0,6649.75
14,this,7262.82,6.86,6610.0,7915.65
15,we,6393.33,6.81,3470.0,9316.65
16,was,6340.04,6.8,6610.0,6070.08
17,he,6253.76,6.8,4900.0,7607.53
18,with,6165.07,6.79,7080.0,5250.14
19,be,5988.57,6.78,6170.0,5807.14
20,what,5957.95,6.78,2400.0,9515.9
21,me,5954.09,6.77,3020.0,8888.17
22,have,5849.98,6.77,5130.0,6569.97
23,are,5648.71,6.75,5500.0,5797.42
24,not,5389.01,6.73,4900.0,5878.03
25,my,5265.61,6.72,3720.0,6811.22
26,your,4874.44,6.69,3390.0,6358.88
27,but,4639.04,6.67,4270.0,5008.09
28,at,4181.55,6.62,5010.0,3353.1
29,as,4180.81,6.62,5890.0,2471.62
30,do,4167.69,6.62,2240.0,6095.39
31,no,4136.73,6.62,2240.0,6033.45
32,all,4099.22,6.61,3310.0,4888.44
33,can,4078.27,6.61,2880.0,5276.54
34,so,4022.99,6.6,3310.0,4735.98
35,they,3690.14,6.57,3160.0,4220.28
36,just,3644.2,6.56,2690.0,4598.4
37,like,3341.92,6.52,2570.0,4113.84
38,know,3313.97,6.52,1260.0,5367.94
39,from,3313.83,6.52,4270.0,2357.66
40,if,3289.05,6.52,2950.0,3628.09
41,there,3191.04,6.5,2040.0,4342.08
42,by,3036.89,6.48,4570.0,1503.79
43,one,3036.09,6.48,2950.0,3122.18
44,about,2970.13,6.47,2510.0,3430.26
45,get,2943.08,6.47,1910.0,3976.16
46,out,2930.76,6.47,2400.0,3461.51
47,up,2921.17,6.47,2450.0,3392.34
48,she,2825.79,6.45,1820.0,3831.59
49,his,2769.03,6.44,3240.0,2298.05
50,will,2768.26,6.44,2820.0,2716.53
51,an,2694.27,6.43,3390.0,1998.54
52,here,2630.69,6.42,933.0,4328.38
53,or,2609.09,6.42,3470.0,1748.19
54,her,2485.95,6.4,2000.0,2971.9
55,go,2423.31,6.38,1070.0,3776.63
56,how,2345.87,6.37,1740.0,2951.74
57,now,2340.14,6.37,1510.0,3170.28
58,him,2321.32,6.37,1290.0,3352.63
59,who,2291.0,6.36,2190.0,2392.01
60,right,2232.83,6.35,912.0,3553.65
61,when,2226.19,6.35,2340.0,2112.38
62,well,2024.35,6.31,1070.0,2978.69
63,were,2002.41,6.3,2190.0,1814.82
64,time,1977.39,6.3,1950.0,2004.78
65,had,1948.85,6.29,2140.0,1757.69
66,want,1895.19,6.28,1100.0,2690.38
67,has,1883.89,6.28,2340.0,1427.78
68,think,1868.39,6.27,1200.0,2536.79
69,good,1861.0,6.27,1320.0,2401.99
70,see,1858.41,6.27,1260.0,2456.83
71,would,1854.03,6.27,1860.0,1848.07
72,more,1841.71,6.27,2290.0,1393.41
73,come,1821.19,6.26,603.0,3039.39
74,been,1802.37,6.26,1860.0,1744.75
75,got,1763.79,6.25,813.0,2714.57
76,oh,1719.28,6.24,269.0,3169.56
77,them,1690.37,6.23,1550.0,1830.75
78,did,1657.71,6.22,912.0,2403.42
79,why,1613.44,6.21,851.0,2375.88
80,some,1594.64,6.2,1580.0,1609.27
81,back,1518.82,6.18,1100.0,1937.65
82,our,1511.89,6.18,1380.0,1643.79
83,people,1500.88,6.18,1780.0,1221.75
84,yeah,1496.53,6.18,234.0,2759.05
85,their,1484.53,6.17,2140.0,829.06
86,going,1484.13,6.17,871.0,2097.26
87,us,1478.75,6.17,1100.0,1857.49
88,then,1464.51,6.17,1170.0,1759.02
89,where,1411.73,6.15,1000.0,1823.46
90,let,1374.85,6.14,398.0,2351.7
91,could,1341.66,6.13,1150.0,1533.32
92,take,1320.84,6.12,832.0,1809.68
93,which,1291.32,6.11,2000.0,582.64
94,yes,1284.75,6.11,316.0,2253.49
95,really,1276.51,6.11,933.0,1620.02
96,only,1271.87,6.1,1320.0,1223.75
97,make,1264.64,6.1,1200.0,1329.28
98,look,1252.82,6.1,646.0,1859.65
99,new,1240.62,6.09,1780.0,701.24
100,over,1207.38,6.08,1200.0,1214.75
101,way,1199.67,6.08,1020.0,1379.33
102,need,1183.71,6.07,933.0,1434.43
103,say,1183.67,6.07,776.0,1591.34
104,two,1157.2,6.06,1260.0,1054.4
105,very,1152.07,6.06,1000.0,1304.13
106,too,1150.6,6.06,891.0,1410.19
107,because,1141.87,6.06,1070.0,1213.75
108,man,1139.74,6.06,661.0,1618.48
109,other,1123.0,6.05,1450.0,796.0
110,any,1114.55,6.05,1170.0,1059.09
111,first,1097.61,6.04,1290.0,905.21
112,into,1097.16,6.04,1290.0,904.33
113,said,1074.65,6.03,1020.0,1129.3
114,than,1061.84,6.03,1350.0,773.69
115,should,1056.48,6.02,977.0,1135.97
116,down,1054.54,6.02,759.0,1350.08
117,never,1048.35,6.02,813.0,1283.69
118,okay,1042.78,6.02,115.0,1970.55
119,after,1039.94,6.02,1290.0,789.89
120,something,1039.18,6.02,646.0,1432.37
121,these,1021.05,6.01,1100.0,942.09
122,much,1009.29,6.0,1000.0,1018.59
123,even,1001.89,6.0,977.0,1026.79
124,tell,980.6,5.99,339.0,1622.2
125,off,976.69,5.99,851.0,1102.37
126,also,954.14,5.98,1550.0,358.29
127,love,903.04,5.96,661.0,1145.09
128,little,880.57,5.94,562.0,1199.14
129,work,877.78,5.94,912.0,843.55
130,day,871.41,5.94,891.0,851.82
131,hey,858.48,5.93,132.0,1584.97
132,still,856.99,5.93,832.0,881.98
133,am,843.36,5.93,603.0,1083.73
134,before,824.47,5.92,851.0,797.95
135,life,818.68,5.91,776.0,861.37
136,give,816.35,5.91,513.0,1119.7
137,its,814.53,5.91,1380.0,249.05
138,please,809.18,5.91,457.0,1161.35
139,years,788.26,5.9,912.0,664.53
140,those,761.36,5.88,794.0,728.71
141,great,755.83,5.88,759.0,752.66
142,thing,743.47,5.87,525.0,961.95
143,help,740.43,5.87,562.0,918.86
144,mean,735.8,5.87,339.0,1132.61
145,may,735.06,5.87,955.0,515.12
146,last,725.66,5.86,724.0,727.32
147,sure,723.15,5.86,468.0,978.31
148,find,719.51,5.86,575.0,864.02
149,made,715.19,5.85,832.0,598.38
150,being,712.03,5.85,891.0,533.05
151,home,707.0,5.85,646.0,768.0
152,doing,703.84,5.85,398.0,1009.69
153,most,695.14,5.84,1000.0,390.29
154,thank,684.41,5.84,302.0,1066.83
155,long,665.2,5.82,646.0,684.39
156,again,657.34,5.82,501.0,813.69
157,better,646.29,5.81,575.0,717.58
158,world,643.56,5.81,776.0,511.12
159,must,640.08,5.81,479.0,801.15
160,sorry,639.56,5.81,151.0,1128.12
161,through,638.13,5.8,741.0,535.26
162,always,634.63,5.8,575.0,694.25
163,many,623.6,5.79,813.0,434.2
164,things,622.28,5.79,550.0,694.56
165,around,619.59,5.79,589.0,650.19
166,anything,618.95,5.79,355.0,882.9
167,put,609.3,5.78,457.0,761.59
168,god,607.95,5.78,372.0,843.89
169,nothing,606.68,5.78,355.0,858.36
170,does,604.72,5.78,550.0,659.44
171,year,599.91,5.78,912.0,287.82
172,away,597.59,5.78,417.0,778.17
173,night,587.1,5.77,407.0,767.21
174,thought,579.64,5.76,389.0,770.28
175,old,578.82,5.76,562.0,595.64
176,every,576.4,5.76,617.0,535.8
177,keep,572.16,5.76,457.0,687.32
178,place,563.25,5.75,513.0,613.5
179,stop,561.31,5.75,331.0,791.62
180,best,557.74,5.75,692.0,423.48
181,call,557.11,5.75,324.0,790.21
182,same,555.58,5.74,631.0,480.15
183,three,554.3,5.74,603.0,505.61
184,money,543.72,5.74,437.0,650.43
185,maybe,541.68,5.73,282.0,801.37
186,feel,540.17,5.73,468.0,612.33
187,while,538.5,5.73,724.0,353.0
188,ever,534.72,5.73,457.0,612.43
189,everything,531.92,5.73,347.0,716.84
190,told,530.65,5.72,347.0,714.3
191,another,526.97,5.72,550.0,503.95
192,such,526.04,5.72,692.0,360.08
193,house,524.45,5.72,513.0,535.89
194,talk,522.49,5.72,263.0,781.99
195,big,521.69,5.72,468.0,575.38
196,own,518.09,5.71,550.0,486.18
197,name,517.62,5.71,407.0,628.23
198,wait,508.32,5.71,224.0,792.63
199,use,499.58,5.7,646.0,353.15
200,used,497.24,5.7,631.0,363.48
201,both,495.17,5.69,617.0,373.35
202,someone,490.12,5.69,427.0,553.24
203,lot,487.36,5.69,407.0,567.71
204,sir,484.67,5.69,115.0,854.34
205,next,481.89,5.68,501.0,462.78
206,might,481.66,5.68,457.0,506.32
207,show,479.05,5.68,479.0,479.1
208,won,473.16,5.68,158.0,788.31
209,found,472.14,5.67,479.0,465.28
210,done,471.86,5.67,380.0,563.71
211,left,469.55,5.67,417.0,522.1
212,since,456.44,5.66,562.0,350.88
213,without,445.32,5.65,490.0,400.64
214,believe,440.49,5.64,324.0,556.98
215,leave,439.3,5.64,219.0,659.59
216,part,434.06,5.64,603.0,265.13
217,guys,433.44,5.64,257.0,609.89
218,enough,433.44,5.64,347.0,519.88
219,family,431.6,5.64,457.0,406.2
220,today,430.14,5.63,355.0,505.29
221,guy,426.02,5.63,251.0,601.05
222,bad,424.63,5.63,339.0,510.26
223,school,422.11,5.63,513.0,331.22
224,came,416.22,5.62,316.0,516.45
225,getting,414.37,5.62,372.0,456.73
226,kind,411.47,5.61,282.0,540.93
227,looking,411.17,5.61,372.0,450.34
228,care,409.71,5.61,363.0,456.42
229,thanks,407.34,5.61,269.0,545.69
230,end,403.19,5.61,479.0,327.38
231,real,402.09,5.6,398.0,406.19
232,course,400.78,5.6,275.0,526.56
233,between,399.67,5.6,589.0,210.34
234,under,399.06,5.6,537.0,261.13
235,girl,397.58,5.6,240.0,555.16
236,nice,396.61,5.6,234.0,559.21
237,coming,394.39,5.6,251.0,537.77
238,father,392.7,5.59,182.0,603.4
239,each,391.14,5.59,490.0,292.29
240,wanted,385.15,5.59,229.0,541.3
241,try,382.62,5.58,316.0,449.23
242,went,379.91,5.58,316.0,443.82
243,wrong,378.28,5.58,245.0,511.57
244,days,378.07,5.58,407.0,349.14
245,high,377.59,5.58,562.0,193.18
246,called,376.94,5.58,389.0,364.89
247,already,375.98,5.58,355.0,396.95
248,game,371.1,5.57,525.0,217.21
249,understand,368.83,5.57,234.0,503.66
250,car,368.73,5.57,282.0,455.46
251,stay,368.15,5.57,214.0,522.29
252,live,367.29,5.57,347.0,387.59
253,remember,367.06,5.56,240.0,494.11
254,play,364.76,5.56,407.0,322.52
255,job,364.11,5.56,316.0,412.22
256,fine,361.18,5.56,170.0,552.36
257,seen,360.24,5.56,331.0,389.48
258,until,358.76,5.55,407.0,310.53
259,few,358.54,5.55,398.0,319.09
260,start,358.31,5.55,363.0,353.62
261,state,357.23,5.55,603.0,111.45
262,trying,356.63,5.55,295.0,418.26
263,once,355.47,5.55,339.0,371.94
264,else,354.97,5.55,240.0,469.93
265,ask,353.82,5.55,219.0,488.64
266,against,353.3,5.55,479.0,227.59
267,together,352.52,5.55,288.0,417.04
268,yet,351.37,5.55,347.0,355.73
269,actually,347.29,5.54,309.0,385.58
270,second,347.06,5.54,427.0,267.11
271,head,346.0,5.54,324.0,368.0
272,mind,344.28,5.54,257.0,431.55
273,mother,344.09,5.54,174.0,514.19
274,took,340.46,5.53,324.0,356.92
275,shit,339.46,5.53,302.0,376.92
276,men,339.43,5.53,324.0,354.86
277,happened,338.06,5.53,158.0,518.13
278,hard,336.97,5.53,339.0,334.94
279,having,336.62,5.53,389.0,284.24
280,woman,335.88,5.53,224.0,447.75
281,hear,333.69,5.52,170.0,497.39
282,business,330.34,5.52,363.0,297.68
283,talking,330.31,5.52,195.0,465.62
284,friend,329.52,5.52,234.0,425.04
285,team,326.65,5.51,468.0,185.29
286,case,325.94,5.51,355.0,296.88
287,run,322.89,5.51,309.0,336.77
288,room,322.61,5.51,245.0,400.22
289,whole,321.29,5.51,288.0,354.57
290,number,321.07,5.51,417.0,225.15
291,son,320.29,5.51,191.0,449.58
292,everyone,317.15,5.5,295.0,339.3
293,morning,316.31,5.5,214.0,418.62
294,saw,314.97,5.5,219.0,410.95
295,different,314.93,5.5,389.0,240.87
296,during,313.73,5.5,525.0,102.46
297,person,310.34,5.49,355.0,265.68
298,yourself,310.25,5.49,204.0,416.5
299,listen,309.73,5.49,115.0,504.46
300,open,309.37,5.49,302.0,316.73
301,free,308.38,5.49,427.0,189.76
302,music,308.38,5.49,331.0,285.75
303,set,307.7,5.49,389.0,226.4
304,move,307.7,5.49,224.0,391.39
305,hello,305.88,5.49,52.5,559.27
306,dad,305.57,5.49,89.1,522.04
307,times,303.22,5.48,363.0,243.44
308,says,302.81,5.48,309.0,296.63
309,change,302.42,5.48,347.0,257.84
310,fuck,301.86,5.48,245.0,358.73
311,city,301.81,5.48,407.0,196.62
312,pretty,298.94,5.48,240.0,357.87
313,water,298.59,5.48,331.0,266.18
314,later,298.53,5.47,309.0,288.06
315,dead,296.49,5.47,155.0,437.98
316,face,296.48,5.47,282.0,310.96
317,idea,295.92,5.47,229.0,362.83
318,kill,295.61,5.47,123.0,468.21
319,bit,295.54,5.47,234.0,357.08
320,hope,294.02,5.47,275.0,313.04
321,point,293.62,5.47,347.0,240.24
322,friends,293.41,5.47,269.0,317.83
323,happy,292.76,5.47,224.0,361.51
324,week,291.44,5.46,363.0,219.89
325,baby,291.31,5.46,182.0,400.62
326,matter,290.88,5.46,240.0,341.75
327,making,290.06,5.46,347.0,233.12
328,women,289.98,5.46,372.0,207.97
