rank,word,per_million,zipf,wordfreq_pm,opensubtitles_pm
1,в,31551.61,7.5,42700.0,20403.21
2,и,24824.28,7.39,29500.0,20148.56
3,не,22870.3,7.36,15800.0,29940.59
4,я,21614.25,7.33,8130.0,35098.51
5,что,18418.71,7.27,12300.0,24537.42
6,на,14616.77,7.16,17800.0,11433.55
7,с,12114.26,7.08,13800.0,10428.53
8,это,11803.84,7.07,5370.0,18237.68
9,ты,10576.67,7.02,2340.0,18813.34
10,как,7595.59,6.88,7080.0,8111.19
11,а,6972.41,6.84,7240.0,6704.82
12,он,6377.89,6.8,3890.0,8865.79
13,у,5778.95,6.76,4270.0,7287.89
14,но,5604.38,6.75,4370.0,6838.75
15,мы,5450.58,6.74,2510.0,8391.17
16,по,5168.53,6.71,7590.0,2747.07
17,так,4983.26,6.7,3090.0,6876.51
18,мне,4789.64,6.68,2140.0,7439.27
19,вы,4745.18,6.68,1480.0,8010.36
20,о,4685.45,6.67,4570.0,4800.91
21,его,4543.52,6.66,3890.0,5197.04
22,меня,4534.46,6.66,2090.0,6978.91
23,за,4518.36,6.65,4900.0,4136.72
24,да,4496.2,6.65,1100.0,7892.39
25,из,4486.51,6.65,5890.0,3083.03
26,все,4394.74,6.64,3800.0,4989.48
27,нет,4350.96,6.64,1450.0,7251.93
28,для,3817.9,6.58,4680.0,2955.79
29,к,3735.59,6.57,4470.0,3001.18
30,то,3515.69,6.55,4370.0,2661.38
31,если,3299.83,6.52,2240.0,4359.65
32,она,3237.4,6.51,1550.0,4924.8
33,от,3118.7,6.49,3890.0,2347.39
34,бы,3009.44,6.48,1910.0,4108.88
35,же,2876.46,6.46,2510.0,3242.92
36,тебя,2842.46,6.45,832.0,4852.92
37,ещё,2780.94,6.44,2463.0,3098.88
38,они,2736.97,6.44,1780.0,3693.93
39,когда,2575.1,6.41,2240.0,2910.21
40,был,2479.89,6.39,2240.0,2719.79
41,только,2471.0,6.39,2290.0,2651.99
42,чтобы,2444.33,6.39,1580.0,3308.65
43,её,2397.26,6.38,1797.0,2997.52
44,было,2351.88,6.37,2140.0,2563.77
45,есть,2332.49,6.37,1550.0,3114.97
46,тебе,2326.72,6.37,589.0,4064.44
47,просто,2081.55,6.32,1050.0,3113.1
48,уже,1980.97,6.3,2040.0,1921.93
49,может,1973.39,6.3,1480.0,2466.79
50,до,1963.64,6.29,2400.0,1527.28
51,ну,1953.41,6.29,955.0,2951.83
52,их,1901.95,6.28,1820.0,1983.9
53,будет,1882.05,6.27,1700.0,2064.11
54,или,1871.32,6.27,1860.0,1882.63
55,кто,1845.99,6.27,1620.0,2071.98
56,вас,1808.41,6.26,1150.0,2466.82
57,вот,1807.35,6.26,1260.0,2354.69
58,здесь,1718.36,6.24,603.0,2833.72
59,хорошо,1708.79,6.23,513.0,2904.59
60,быть,1683.51,6.23,1200.0,2167.02
61,нас,1669.0,6.22,912.0,2426.01
62,очень,1663.12,6.22,1380.0,1946.24
63,всё,1556.96,6.19,537.0,2576.93
64,знаю,1521.77,6.18,355.0,2688.54
65,чем,1505.06,6.18,1260.0,1750.12
66,была,1481.36,6.17,1320.0,1642.71
67,где,1477.47,6.17,1200.0,1754.94
68,время,1462.95,6.17,1620.0,1305.9
69,этого,1381.43,6.14,1050.0,1712.87
70,сейчас,1378.74,6.14,1000.0,1757.48
71,почему,1374.9,6.14,708.0,2041.81
72,там,1368.46,6.14,912.0,1824.91
73,этом,1362.57,6.13,1200.0,1525.15
74,со,1353.14,6.13,1350.0,1356.28
75,вам,1263.1,6.1,525.0,2001.19
76,больше,1210.95,6.08,1020.0,1401.9
77,были,1208.96,6.08,1350.0,1067.93
78,нам,1197.59,6.08,537.0,1858.19
79,нужно,1176.39,6.07,589.0,1763.78
80,даже,1166.47,6.07,1100.0,1232.93
81,теперь,1162.26,6.07,832.0,1492.51
82,могу,1150.87,6.06,363.0,1938.74
83,спасибо,1143.99,6.06,398.0,1889.98
84,хочу,1139.14,6.06,537.0,1741.28
85,ничего,1138.84,6.06,562.0,1715.68
86,что-то,1124.69,6.05,,1124.69
87,во,1123.24,6.05,1510.0,736.48
88,после,1116.53,6.05,1480.0,753.06
89,раз,1104.93,6.04,871.0,1338.86
90,того,1093.57,6.04,1070.0,1117.13
91,этот,1083.1,6.03,891.0,1275.2
92,мой,1073.77,6.03,525.0,1622.55
93,ли,1060.29,6.03,871.0,1249.58
94,потому,1056.53,6.02,603.0,1510.07
95,себя,1042.64,6.02,891.0,1194.27
96,надо,1041.33,6.02,776.0,1306.66
97,при,1038.93,6.02,1740.0,337.86
98,ему,1026.03,6.01,741.0,1311.06
99,ни,991.59,6.0,912.0,1071.18
100,об,986.62,5.99,912.0,1061.24
101,можно,974.98,5.99,1100.0,849.95
102,пока,956.6,5.98,676.0,1237.2
103,тоже,942.04,5.97,724.0,1160.09
104,года,933.92,5.97,1580.0,287.84
105,том,906.51,5.96,1000.0,813.02
106,под,897.5,5.95,1200.0,594.99
107,один,884.38,5.95,832.0,936.75
108,без,880.38,5.94,933.0,827.76
109,сегодня,879.33,5.94,813.0,945.65
110,сказал,870.58,5.94,537.0,1204.16
111,знаешь,843.83,5.93,110.0,1577.66
112,ладно,835.89,5.92,83.2,1588.57
113,думаю,834.88,5.92,251.0,1418.75
114,него,825.02,5.92,575.0,1075.04
115,тогда,818.79,5.91,537.0,1100.59
116,тут,815.35,5.91,562.0,1068.7
117,лет,808.6,5.91,912.0,705.21
118,всего,776.28,5.89,813.0,739.56
119,который,770.45,5.89,871.0,669.91
120,также,769.67,5.89,1320.0,219.34
121,должен,759.54,5.88,347.0,1172.09
122,человек,755.95,5.88,912.0,599.9
123,день,753.82,5.88,692.0,815.64
124,никогда,753.69,5.88,389.0,1118.37
125,конечно,751.49,5.88,437.0,1065.99
126,всех,750.9,5.88,832.0,669.8
127,всегда,750.75,5.88,631.0,870.49
128,которые,713.54,5.85,891.0,536.07
129,них,712.41,5.85,724.0,700.83
130,через,712.19,5.85,759.0,665.37
131,эти,709.59,5.85,661.0,758.18
132,лучше,691.51,5.84,468.0,915.03
133,привет,682.2,5.83,135.0,1229.39
134,правда,670.4,5.83,275.0,1065.8
135,сделать,660.73,5.82,447.0,874.46
136,дело,659.57,5.82,468.0,851.14
137,много,659.3,5.82,562.0,756.6
138,более,657.77,5.82,977.0,338.54
139,им,654.51,5.82,646.0,663.02
140,моя,650.53,5.81,288.0,1013.05
141,такой,636.58,5.8,589.0,684.15
142,хочешь,635.69,5.8,123.0,1148.39
143,сказать,631.83,5.8,302.0,961.66
144,себе,620.45,5.79,589.0,651.89
145,этой,617.68,5.79,617.0,618.36
146,должны,616.7,5.79,398.0,835.4
147,давай,614.29,5.79,83.2,1145.38
148,жизнь,612.58,5.79,537.0,688.16
149,потом,600.38,5.78,513.0,687.77
150,люди,592.59,5.77,562.0,623.18
151,чего,592.02,5.77,417.0,767.04
152,жизни,585.96,5.77,646.0,525.93
153,ей,584.45,5.77,309.22,859.68
154,из-за,584.4,5.77,,584.4
155,свою,579.46,5.76,550.0,608.92
156,значит,573.42,5.76,269.0,877.85
157,эй,569.4,5.76,20.9,1117.91
158,делать,560.36,5.75,347.0,773.72
159,два,553.45,5.74,575.0,531.9
160,буду,552.66,5.74,309.0,796.32
161,пожалуйста,552.44,5.74,132.0,972.89
162,тобой,552.17,5.74,138.0,966.35
163,ведь,551.53,5.74,407.0,696.07
164,тем,551.14,5.74,661.0,441.29
165,мной,549.33,5.74,200.0,898.65
166,людей,543.77,5.74,575.0,512.55
167,такое,543.3,5.74,427.0,659.59
168,этим,538.57,5.73,331.0,746.13
169,ним,526.82,5.72,324.0,729.63
170,году,525.42,5.72,912.0,138.84
171,вместе,524.53,5.72,479.0,570.06
172,сюда,505.67,5.7,107.0,904.34
173,ней,504.6,5.7,324.0,685.2
174,место,504.31,5.7,513.0,495.63
175,можешь,496.07,5.7,83.2,908.94
176,своей,495.82,5.7,537.0,454.64
177,поэтому,493.53,5.69,447.0,540.05
178,тот,493.18,5.69,457.0,529.36
179,кто-то,492.84,5.69,,492.84
180,неё,485.08,5.69,340.2,629.97
181,эту,478.0,5.68,372.0,584.01
182,времени,477.36,5.68,479.0,475.73
183,несколько,470.5,5.67,537.0,404.01
184,порядке,470.05,5.67,105.0,835.1
185,эта,468.58,5.67,398.0,539.16
186,лишь,466.77,5.67,479.0,454.54
187,всем,462.82,5.67,437.0,488.64
188,именно,460.3,5.66,447.0,473.59
189,хотел,455.25,5.66,141.0,769.49
190,между,454.85,5.66,617.0,292.71
191,слишком,446.11,5.65,240.0,652.22
192,возможно,445.84,5.65,229.0,662.68
193,назад,445.64,5.65,302.0,589.29
194,свои,443.6,5.65,479.0,408.2
195,что-нибудь,442.93,5.65,,442.93
196,какой,437.36,5.64,457.0,417.72
